Table Another Table has the following pages:


Page page0 has the following tuples:

Arousi	(4,24),(15,13),(32,5)	100	

not nice	(38,34),(44,10)	100	

Arousi		100	

Ahmed	(35,11),(10,42),(32,42),(35,52),(42,18),(32,0),(7,5),(7,7),(5,12)	100	

thanks		100	

Fathy	(4,1),(59,39),(4,29),(29,53),(25,36),(44,51),(50,20),(47,23),(8,29)	100	

Arousi	(46,33)	100	

Bela		100	

balwa	(2,9),(18,9),(58,0),(29,57),(10,39),(39,9),(3,20),(5,15)	100	

Bela	(58,3),(42,53),(39,59),(0,54),(23,37),(55,20),(2,3),(3,45),(15,0),(34,26),(38,59),(9,14),(22,29)	100	

Abdallah	(8,19)	100	

Body	(6,39),(37,30),(6,29)	100	

nice		100	

Fathy	(55,14),(22,7),(26,49),(24,49),(49,53),(55,44),(4,59),(24,48),(32,51),(51,26),(51,9),(42,5),(46,45),(50,48)	100	

Ahmed	(27,8),(0,26),(39,42),(7,10),(45,14),(5,20),(12,29),(46,17),(49,28),(9,44),(47,45),(11,33),(53,17)	100	

Abdallah	(16,59),(25,40),(1,23),(4,54),(7,36),(41,17),(8,53),(34,2),(54,17),(51,17)	100	

balwa	(20,34),(49,1),(22,24),(53,38),(52,9),(20,51),(40,50),(28,38),(17,36),(18,38),(11,34),(50,0),(51,29),(48,50),(5,10)	100	

Abdallah	(27,52),(44,37),(45,13),(53,15),(46,51),(49,0),(12,27),(8,2),(33,17),(42,31),(8,16),(2,27),(56,39),(19,59),(52,7)	100	

not nice	(33,42),(1,41),(21,36),(44,39),(24,48),(28,57),(24,27),(46,15)	100	

Abdallah	(22,27),(45,46)	101	

Arousi	(59,29),(16,9),(21,32),(0,49),(11,14),(11,16),(40,2)	101	

Abdallah	(23,56),(9,29),(25,34),(23,4),(18,38),(57,48),(48,6),(27,32),(57,20),(55,9),(27,14),(30,11),(14,5)	101	

Ahmed	(42,33),(0,6)	101	

not nice	(59,2),(23,0),(48,24),(14,50)	101	

Bela	(1,17),(11,52),(12,53),(20,58),(28,11),(39,47),(24,3),(38,30),(0,58)	101	

Hela	(27,48),(45,43),(22,28),(6,52),(34,3),(0,17),(26,44),(29,15)	101	

Fathy		101	

Hela	(44,56),(34,12),(18,1),(37,13),(49,24),(55,32),(24,44),(31,38),(57,51),(49,14),(9,52),(49,30)	101	

Body	(58,8),(54,49),(9,22),(48,8),(38,18),(10,5),(16,54),(52,33),(6,4),(33,48),(33,43)	101	

balwa	(37,1),(9,34),(25,7),(1,17),(25,42),(45,20),(37,6),(3,30),(26,20),(49,0),(9,51)	101	

Hela	(10,22),(53,48),(34,22),(56,31),(40,50),(40,45)	101	

nice	(48,13),(18,5),(7,25),(54,54),(54,55),(26,6),(25,38),(10,26)	101	

Abdallah	(42,45),(43,30),(25,35),(6,46)	101	

Ahmed	(30,26),(6,49),(33,13)	101	

Bela	(10,38),(11,57),(57,9),(15,4),(5,33),(8,4),(17,11),(8,43),(57,2),(35,57),(3,8),(57,45),(27,2)	101	

Esso	(6,0),(12,47),(39,52),(43,52)	102	

Ahmed	(2,3),(31,46),(4,17),(19,4),(17,4),(26,18),(59,41),(5,21)	102	

balwa	(33,18),(4,20),(5,24),(31,2),(26,39),(20,43),(35,25),(38,19),(8,21),(15,45),(16,58)	102	

Arousi	(42,17),(17,34),(7,0),(39,41),(42,45),(48,7),(22,3)	102	

Bela	(10,2),(32,0)	102	

balwa	(2,55),(28,23),(24,12),(46,11),(46,19),(59,12),(15,22),(51,39),(18,23),(59,23)	102	

thanks	(33,45),(20,14),(11,2),(42,18),(2,31),(31,0),(40,38)	102	

7elwa	(44,52),(30,24),(8,9),(17,37),(6,34)	102	

