Table Esso Table has the following pages:


Page page0 has the following tuples:

12345	464849	S6PW1BESBKL6	21575.159421041044	

12345	152485	6	695036.9517326211	

12345	419273	JMZNMBAD	534795.8187131181	

12345	609346	31282GJ6	781182.7006744766	

12345	135183	FHCY	503417.0236577554	

12345	358996	0W3TXQBN	301673.76617194974	

12345	126085	6Y3A	948901.6849653348	

12345	149016	KNOCU3B3NM7HK	758656.8385557964	

12345	591145	9PO	79319.21866655034	

12346	672507	DFKSKBG	683644.6259445992	

12346	549104	RD	863605.3518611994	

12346	922603	ICRC0ZKB8EIOT	162269.870176699	

12346	675553	3CAME3BGNG0KE	318695.7618793528	

12346	667801	A3AKGSP9ON	109381.26930546432	

12346	731482	IGZOH	955925.0327382738	

12346	442794	QN0P1XR	808948.0553916454	

12346	93263	0Q	995466.7286920224	

12346	287856	5QRY5CUIKU	762946.7132594261	

12347	563305	4QTJWA	74813.84293294435	

12347	918936	0U79	569231.2896842357	

12347	520312	B72BXE99V	133322.03438819424	

12347	292609	QX9KWGVS	883283.439617251	

12347	139832	JFM47Y9S5	412720.8339142852	

12347	103029	Y08ZS6SUDS	541863.3775232713	

12347	609160	9	281114.7152525488	

12347	278076	J9CHVEFAGI	183120.5648518337	

12347	397893	9EK5MH4DW1H	145860.9506794729	

12347	34470	AMA1DR8ZID33	645899.1348094066	

12348	532063	WM	838738.4933225289	

12348	241412	Y4NRFUV	411909.26544432674	

12348	638893	68TE9N1	615907.2638757455	

12348	439283	WUPHDCYYTT2W	182230.3839580677	

12348	141987	I8HC	519800.4797457435	

12348	595989	49NXON2VSTOQO	175569.4832369816	

12349	340411	IFY318FFVV8M	431113.932068722	

12349	175268	H	477006.7852572426	

12349	716939	1TCWJ6D2KN	364630.16076295986	

12349	626703	Y	510771.17189549736	

12349	764683	IF9G0	192113.90648665593	

12350	395685	PJDK	902079.9285329474	

12350	891508	QAL0	759722.9242571548	

12350	875135	LUYHVD	690486.6386072696	

12350	479836	B6ZM1	400572.9355016675	

12350	323309	M5L1MMI0NH0Q	396606.8466618023	

12350	862364	OI2AS5XEWQZV	881924.4093032689	

12351	595583	XO9T9MVXOSTTS	334895.0904163803	

12351	807677	EKYOGF4SENK8C	66789.55642986573	

12351	589296	12JVB9	35695.60053665488	

12351	304158		445090.00780765805	

12351	777168	MDTPJI4V5T	661890.0938292091	

12351	295414	07FKILK	714559.1676845766	

12351	860916	L9JYJN7CID	432663.6333088727	

12351	247161	0PQ2Y9	344194.6414666496	

12352	610774	4AHD9FYA	473635.46831572277	

12352	789847	ZASG3U3VL36K	367545.97893325705	

12352	322690	S5	191876.13575754204	

12352	666780	7G	765162.4273732867	

12352	726244	H9HWP	222128.81710657073	

12352	855319	E	673227.8983339935	

12353	705924	B1	203050.12465372184	

12353	88212	C9CW	958579.1227516038	

12353	550912	FPQ5GCDTAG9	292387.00070650026	

12353	879994	AG02EQ7817	479960.6396517735	

12353	345460	13FQZR	852825.1599078774	

12353	869317	GQEC9	365501.50229046954	

12353	759689	DB2	526289.3961371571	

12353	902787	5YFA5U0XQ	327405.0779414942	

12354	156400	LN8K60	463802.0456512587	

12354	406608	1L	869720.7520751952	

12354	448511	1ABATJPVFOXCZL	108211.94632523002	

12354	12561		494059.5858512111	

12354	176132	JDD	265953.6165046935	

12354	478715	0H7KWIGYY9A	458665.4294490538	

12354	778031	7	718037.0809241458	

12355	860913	Q4JL	997323.7797748605	

12355	407984	6BZIU2EX	548009.257217108	

12355	409019	2JNUUGYQH3RBL1	310495.01140929793	

12355	102841	A6EVU63	721162.3568035866	

12355	759074	7UBIZQJ8UAKC	320893.15457435354	

12355	151422	Y4XZT4C	572294.9282281447	

12355	351021	7E4	889294.6438983409	

12355	280473	GFP	564733.8011949273	

12356	50459	M77Z8LU	868212.4352792879	

12356	604065	GYKHR3K1FX	505289.6962726254	

12356	144434	TGQPV	797387.0902104676	

12356	543328	YZWF	180101.53552147868	

12357	71994	O0OMNYZJLKJE6	327144.6495671049	

12357	898825	Z44P7ZASHS6X9	403263.64704428316	

12357	780332	GQWJG7	640201.4061779277	

12357	172450	XFH	19900.55724544415	

12357	247972	43DLHN5OZN	240611.75801918865	

12358	732739	J3LMQ6KK4IEGG	583264.7495635209	

12358	268679	N45FYLIZL9	129704.45616802739	

12358	442305	0VVXYWY51OF	891271.0574069502	

12358	852460	UW9MA4UAPFHA	588727.8194305167	

12358	411334	K4LILD2KVT	764750.5411787359	

12358	622129	0XM0PWP6A	900339.4830891239	

12358	783460	C13JSX	854800.0779987277	

12358	332495	965SF4RMYEXQB	784971.018286417	

12358	445948	NA9ZOZD0A	493288.885766804	

12359	478503	2GP26CDO	471198.6343295908	

12359	253439	ZWCSAR4ZFL	810525.3692432003	

12359	227321	ABP6YJ82	302119.7787796709	

12359	16822	4	694347.1011186106	

12359	359134	MLQVP25KFLQ	288169.85317546205	

12359	475121	E33WAOVARE0GJ	264532.6569943963	

12360	757079	EJ	607199.1321603138	

12360	739290	RJJVQOMIC1KT	70821.94638441752	

12360	700041	PXN84YK2LPFK	280171.04860996455	

12360	96418	3XJLXL	938080.0614748661	

12360	7151	3A	584398.1732980622	

12360	824988	CMJQ4VYI	807406.1386237668	

12360	817191		94023.9916063943	

12360	756107	SMPYS711A01GG	528253.0366525884	

12360	727229	8BTQ	559945.6942843563	

